date,ticker,price,volume,sector,is_etf,market_cap,dividend_yield,beta
2024-01-01,GOOGL,321.0593553634308,47797604,Tech,True,Mid,0.022969419526115836,1.137582526971137
2024-01-02,MSFT,243.84181861928144,39761981,Finance,True,Large,0.01684902565334618,0.9614423777200485
2024-01-03,GOOGL,389.9500055346369,14603521,Healthcare,False,Mid,0.004501940241369635,1.8964843033903829
2024-01-04,AAPL,337.771379737663,24823903,Healthcare,True,Large,0.03559159966389101,1.2520706475086465
2024-01-05,AAPL,486.952371785229,7608727,Finance,False,Small,0.04398201125462623,1.3162984323226188
2024-01-06,MSFT,380.089377323134,24007750,Finance,True,Mid,0.028976473483442195,0.5656240619360695
2024-01-07,MSFT,126.69402199054485,23768535,Finance,False,Large,0.04757383561660691,1.0185580895592288
2024-01-08,GOOGL,305.14705974448077,48602148,Finance,True,Mid,0.031275644197962665,1.8520301721877144
2024-01-09,AAPL,375.5039282052399,47278665,Finance,True,Small,0.04327504597946943,0.8676001747319622
2024-01-10,GOOGL,357.4522950061152,34906275,Tech,False,Mid,0.021048226068998824,1.0842665591301288
2024-01-11,AAPL,425.24451073457686,6010659,Finance,True,Large,0.046058585643034715,1.3170006270515344
2024-01-12,AAPL,268.8706393847639,4481217,Tech,True,Small,0.036007440005062334,1.2240994997106291
2024-01-13,GOOGL,419.12203337417566,39804073,Finance,True,Large,0.03873658917496625,0.5893931572633412
2024-01-14,MSFT,360.51335813134773,37652828,Tech,False,Large,0.020741873415545554,0.5042486765207047
2024-01-15,GOOGL,158.60550888477465,48600688,Healthcare,True,Small,0.0006827250291217279,0.5474955575331111
2024-01-16,MSFT,337.6413939899311,43771337,Finance,False,Large,0.01850986989461567,0.6382296877731812
2024-01-17,AAPL,338.89657988458094,48414157,Tech,False,Mid,0.02637931595151562,1.962427812761657
2024-01-18,GOOGL,309.2791705796774,11811340,Healthcare,False,Small,0.010511732473161329,1.8627890417021575
2024-01-19,GOOGL,175.29945851847663,5059684,Tech,False,Mid,0.0007746556604112609,1.0503609113831591
2024-01-20,AAPL,499.02838657005566,31238348,Tech,True,Large,0.046759348374192884,1.1687569859353582
2024-01-21,AAPL,240.98648378030924,11087720,Tech,False,Small,0.03992128936160808,1.9746179731719065
2024-01-22,MSFT,244.4182039196112,9907794,Healthcare,True,Small,0.0006514337365961576,1.6068869434844977
2024-01-23,MSFT,361.3260408889093,11158383,Finance,True,Mid,0.01870811664772179,1.3120476068591047
2024-01-24,MSFT,147.07343923711238,31199293,Tech,True,Mid,0.020725059541749576,1.6078678749630184
2024-01-25,AAPL,498.5068519469058,12572450,Tech,False,Large,0.0062378174470775205,1.7972367393550808
2024-01-26,MSFT,436.167119428096,37846123,Healthcare,True,Small,0.043235994910727875,0.8071990017124578
2024-01-27,MSFT,480.96432989480803,11821690,Finance,False,Large,0.04960723171250742,0.5864300186837488
2024-01-28,AAPL,395.73888773544326,34809776,Tech,True,Small,0.02989321735552719,0.6333819715275973
2024-01-29,AAPL,201.12325741378575,6203317,Tech,True,Mid,0.0481343915539655,1.572543925581658
2024-01-30,MSFT,332.5037485414251,49556827,Tech,True,Mid,0.03576792070236306,1.3870709908458
2024-01-31,MSFT,496.522869119425,20642278,Tech,False,Large,0.04525980507869873,1.845317000565331
2024-02-01,AAPL,288.4257435706668,42444698,Healthcare,False,Small,0.04183629129649763,1.9589228658659918
2024-02-02,GOOGL,438.0308619371794,12572846,Healthcare,False,Small,0.024328726780762852,1.0302858629672218
2024-02-03,GOOGL,191.69495124946127,2231906,Tech,False,Large,0.02967070116525519,0.5000953063136304
2024-02-04,AAPL,476.27506205700433,28055861,Finance,True,Small,0.016660523949837382,1.606014905937061
2024-02-05,AAPL,470.8160308696357,8145355,Finance,False,Mid,0.035509107085919644,0.556171211197783
2024-02-06,GOOGL,257.9849472376082,9411806,Healthcare,False,Small,0.03737022602671021,1.6391467400162454
2024-02-07,AAPL,396.44265399412234,41148361,Tech,True,Small,0.01141938158627534,1.99414911840651
2024-02-08,AAPL,343.8879689761546,16756743,Finance,False,Small,0.035491793364296115,1.7780029822720138
2024-02-09,GOOGL,485.58938309365925,18596039,Healthcare,True,Large,0.03024951177988606,0.8141973070531927
2024-02-10,GOOGL,318.9509884087298,3067265,Healthcare,True,Mid,0.0496921425995946,1.1640465932498407
2024-02-11,MSFT,266.77414365805333,9378926,Finance,False,Mid,0.034036041726052034,0.512785673047397
2024-02-12,MSFT,326.6109082294775,48902288,Healthcare,True,Small,0.014659071685677162,0.8767188253682467
2024-02-13,GOOGL,298.4812384683828,40023176,Tech,False,Mid,0.03887209353184967,0.8538051338762895
2024-02-14,MSFT,276.7872117770531,13900736,Finance,True,Mid,0.019923404996365503,0.6662267628246997
2024-02-15,MSFT,443.5699661314036,21608126,Healthcare,False,Mid,0.04686899619741655,1.3859031021709263
2024-02-16,MSFT,180.58766515518911,2482666,Healthcare,True,Large,0.012052769996834179,1.4202069368009025
2024-02-17,AAPL,330.65358412789897,13916947,Healthcare,True,Small,0.024788751849959403,1.4926604019947711
2024-02-18,MSFT,315.30285729203945,15758395,Finance,True,Mid,0.029915092109556743,1.6522659902957941
2024-02-19,AAPL,304.42123533027785,46708822,Tech,False,Small,0.011858841786046893,1.2232952409539983
